,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
142,0.595,80,0.136,False,6.06,7.988,0.5,9.5,79,28,20.125,False
143,0.666,70,0.12,False,6.322,7.45,0.333,10.667,64,30,18.974,True
144,0.7,76,0.138,False,6.158,6.581,-0.118,17.706,40,68,17.117,True
145,0.507,101,0.239,False,7.007,5.966,-1.889,40.0,104,83,19.235,True
146,0.678,67,0.168,False,5.849,6.777,-0.053,17.263,45,87,19.026,True
147,0.522,67,0.194,False,6.016,5.098,-0.333,20.333,58,94,18.974,True
148,0.585,88,0.212,False,6.666,6.415,0.556,10.667,123,43,20.591,True
149,0.305,60,0.105,False,4.809,6.661,-0.263,19.579,22,60,19.647,True
150,0.55,78,0.125,False,5.698,6.421,-0.533,24.267,30,68,17.0,True
151,0.667,50,0.099,False,5.358,7.661,-0.368,19.211,35,43,20.248,True
152,0.547,63,0.099,False,5.372,5.486,0.059,15.588,48,30,17.029,True
153,0.487,61,0.099,False,4.925,6.909,-0.444,22.111,21,57,19.698,False
154,0.35,97,0.199,False,6.85,6.507,-0.5,26.0,48,108,17.889,True
155,0.46,59,0.088,False,5.193,5.143,-0.462,23.538,23,46,14.318,True
156,0.341,64,0.084,False,6.204,5.03,-0.053,17.368,19,47,19.026,False
157,0.656,82,0.136,False,5.963,7.532,-0.923,30.308,33,74,17.692,False
