,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
28,0.0,81,0.143,False,7.169,4.221,-8.5,166.5,41,71,17.117,False
29,0.0,64,0.149,False,6.702,8.332,-0.684,25.105,58,59,23.022,False
30,0.0,92,0.175,False,7.946,5.613,-1.0,31.0,60,77,19.799,False
31,0.0,75,0.131,False,7.101,4.148,-0.211,19.474,40,63,19.416,False
32,0.0,40,0.075,False,4.977,7.233,0.105,12.474,28,31,19.105,False
33,0.0,75,0.116,False,6.737,5.699,-0.444,18.222,57,34,19.698,False
34,0.0,41,0.099,False,5.053,6.794,-0.111,14.556,41,37,18.111,False
35,0.0,34,0.043,False,4.94,8.12,-0.056,14.278,19,15,18.028,False
36,0.0,63,0.102,False,5.882,5.683,-0.389,21.111,37,43,19.313,False
37,0.0,66,0.144,False,5.453,6.528,-0.211,20.263,26,87,19.416,False
38,0.0,60,0.096,False,5.984,9.067,-4.5,90.5,15,60,18.439,False
39,0.0,53,0.107,False,5.82,7.512,0.056,12.778,39,45,18.028,False
40,0.0,81,0.126,False,6.369,6.26,-0.375,16.25,68,31,17.088,False
41,0.0,42,0.108,False,5.294,7.905,0.316,10.737,49,36,19.925,False
42,0.0,74,0.101,False,6.475,8.167,-0.417,21.333,36,43,13.0,False
43,0.0,67,0.209,False,5.835,6.274,-0.316,21.895,44,120,19.925,False
44,0.001,76,0.134,False,6.156,5.708,-0.056,19.333,16,89,18.028,False
45,0.0,64,0.117,False,5.699,5.539,-0.529,19.588,58,34,19.235,False
46,0.0,92,0.214,False,6.612,6.635,2.375,-12.625,117,51,20.616,False
47,0.0,85,0.139,False,6.402,7.939,-2.667,41.0,87,22,17.088,False
48,0.0,78,0.101,False,7.169,5.534,6.5,-64.5,50,29,13.153,False
49,0.0,104,0.207,False,7.17,7.861,-5.333,121.0,39,123,16.279,False
50,0.0,82,0.156,False,6.587,3.472,-0.176,14.059,74,48,17.263,False
51,0.001,76,0.163,False,6.416,6.273,-0.333,24.0,26,102,18.974,False
52,0.0,41,0.065,False,5.199,8.321,-0.263,18.316,23,28,19.647,False
53,0.001,56,0.075,False,6.334,8.115,-2.0,36.0,44,15,17.889,False
54,0.0,62,0.143,False,7.209,7.403,4.5,-34.0,88,24,18.439,False
55,0.0,85,0.185,False,6.265,6.432,-1.231,32.846,57,88,20.616,False
56,0.0,69,0.13,False,6.125,7.783,-0.571,23.571,36,66,16.125,False
57,0.0,86,0.18,False,6.556,8.407,-0.833,28.667,51,90,23.431,False
58,0.072,59,0.088,False,4.716,5.989,-0.105,17.526,19,50,19.105,False
59,0.0,94,0.151,False,6.369,5.095,-0.615,22.923,61,57,15.264,False
60,0.0,74,0.129,False,6.487,5.748,-0.278,21.667,18,83,18.682,False
61,0.0,69,0.196,False,5.989,7.042,-0.263,17.316,76,78,19.647,False
62,0.0,92,0.168,False,7.793,1.662,-3.0,72.0,37,95,15.811,False
63,0.0,67,0.126,False,6.957,5.789,19.0,-169.0,81,18,19.026,False
64,0.0,92,0.241,False,7.951,1.57,-0.056,10.278,131,58,18.028,False
65,0.0,91,0.163,False,7.927,4.709,-0.267,23.133,40,88,15.524,False
66,0.0,42,0.084,False,5.043,7.399,-0.158,15.789,33,33,19.235,False
67,0.0,74,0.134,False,5.557,7.647,-0.176,17.588,53,52,17.263,False
68,0.0,67,0.106,False,6.254,8.239,0.75,4.75,54,29,15.0,False
69,0.0,74,0.114,False,6.523,5.574,-14.0,304.0,8,81,14.036,False
70,0.0,66,0.218,False,6.515,6.312,-0.632,25.421,68,103,22.472,False
71,0.004,63,0.117,False,6.048,5.134,0.158,13.895,62,30,19.235,False
72,0.0,71,0.152,False,6.198,4.23,-0.333,15.333,79,40,15.811,False
73,0.0,76,0.188,False,7.051,6.757,-0.667,24.667,74,73,18.028,False
74,0.0,64,0.105,False,6.351,5.671,-0.167,19.333,27,55,18.248,False
75,0.0,95,0.172,False,6.429,7.056,-0.8,26.0,51,84,19.209,False
76,0.0,67,0.198,False,5.827,6.216,0.5,5.0,53,102,20.125,False
77,0.0,55,0.148,False,5.861,6.213,-0.368,20.579,48,68,20.248,False
78,0.0,83,0.161,False,6.62,6.685,1.364,-3.182,78,48,18.601,False
79,0.0,79,0.159,False,6.484,5.446,0.067,9.667,28,97,15.033,False
80,0.0,41,0.098,False,5.048,7.599,-0.316,19.263,34,43,19.925,False
81,0.0,83,0.153,False,6.856,5.939,-0.125,19.75,45,75,16.125,False
82,0.0,70,0.135,False,5.62,6.52,-0.267,15.067,75,31,15.524,False
83,0.0,60,0.202,False,6.18,6.317,-0.222,18.333,69,89,18.439,False
84,0.0,45,0.125,False,5.229,7.354,0.053,13.789,51,47,19.026,False
85,0.001,71,0.222,False,5.726,5.328,-0.444,23.222,53,121,19.698,False
86,0.047,41,0.069,False,5.081,8.406,0.316,9.421,31,23,19.925,False
87,0.0,69,0.167,False,5.618,7.543,-0.211,17.263,71,60,19.416,False
88,0.0,77,0.136,False,6.921,5.671,-0.4,15.6,70,37,16.155,False
89,0.0,85,0.119,False,6.406,5.511,-0.077,10.385,76,17,13.038,False
90,0.0,84,0.153,False,7.648,1.295,-0.214,12.5,83,37,14.318,False
91,0.0,89,0.163,False,7.306,8.453,-3.8,46.8,107,21,19.647,False
92,0.0,76,0.148,False,6.516,5.633,-0.105,19.421,20,96,19.105,False
93,0.0,101,0.177,False,7.541,5.47,-0.643,27.143,42,97,16.643,False
94,0.0,40,0.084,False,5.351,8.06,-0.5,21.0,28,38,20.125,False
95,0.0,76,0.117,False,5.529,3.569,-0.353,22.118,25,67,18.028,False
96,0.0,83,0.166,False,6.183,8.271,-1.0,27.0,75,55,21.213,False
97,0.001,48,0.103,False,5.469,7.352,-0.211,17.263,37,44,19.416,False
98,0.0,56,0.108,False,6.093,7.808,0.062,13.562,43,42,16.031,False
99,0.001,58,0.11,False,5.272,5.554,-0.111,15.778,48,38,18.111,False
100,0.009,58,0.092,False,4.794,5.535,-0.267,21.133,16,56,15.524,False
101,0.0,70,0.145,False,6.173,8.057,-0.263,23.316,16,98,19.647,False
102,0.0,73,0.167,False,6.373,4.426,0.105,16.474,88,43,19.105,False
103,0.0,86,0.213,False,6.769,6.775,0.867,1.8,74,93,19.849,False
104,0.001,63,0.121,False,5.721,4.21,-0.733,27.867,27,68,18.601,False
105,0.0,50,0.08,False,6.057,6.757,-0.062,16.562,26,37,16.031,False
106,0.0,84,0.139,False,5.801,5.554,-0.643,18.286,81,28,16.643,False
107,0.0,64,0.143,False,5.971,8.215,-0.471,24.765,24,88,18.788,False
108,0.0,74,0.152,False,6.757,7.833,-3.2,39.0,111,8,16.763,False
109,0.0,85,0.218,False,6.261,7.326,-0.556,23.333,70,101,20.591,False
110,0.0,74,0.13,False,6.839,8.458,-2.8,37.0,100,2,14.866,False
111,0.0,71,0.199,False,5.807,4.462,-0.667,20.0,100,56,18.028,False
112,0.0,74,0.212,False,6.19,5.515,-0.5,18.0,110,56,17.889,False
113,0.0,80,0.191,False,6.644,6.087,0.733,5.6,104,46,18.601,False
114,0.0,70,0.181,False,6.142,5.041,-0.294,21.059,42,100,17.72,False
115,0.0,85,0.162,False,6.202,7.96,-0.8,25.8,59,68,19.209,False
116,0.0,42,0.101,False,5.07,7.137,-0.158,15.632,40,39,19.235,False
117,0.0,83,0.147,False,6.98,2.531,-0.25,14.25,71,44,16.492,False
118,0.0,41,0.107,False,5.142,7.471,-0.421,18.684,48,36,20.616,False
119,0.0,85,0.167,False,6.17,5.222,-0.105,12.211,102,29,19.105,False
120,0.002,68,0.149,False,5.854,5.731,-0.579,25.474,27,90,21.954,False
121,0.0,69,0.098,False,5.838,5.73,-0.615,18.846,54,23,15.264,False
122,0.0,72,0.119,False,7.37,10.114,-0.105,19.842,28,65,19.105,False
123,0.0,84,0.139,False,7.116,9.121,0.438,11.812,81,28,17.464,False
124,0.0,40,0.07,False,5.18,7.523,-0.211,16.842,26,29,19.416,False
125,0.002,72,0.144,False,5.662,6.327,-0.556,23.444,48,65,20.591,False
126,0.0,40,0.064,False,5.094,7.443,0.105,12.579,24,26,19.105,False
127,0.0,82,0.177,False,6.067,6.039,-0.8,27.6,39,100,19.209,False
128,0.0,91,0.228,False,6.93,7.205,-0.933,27.533,84,95,20.518,False
129,0.0,82,0.149,False,6.967,2.288,-0.235,14.176,79,38,17.464,False
130,0.0,81,0.122,False,7.003,9.012,-15.0,131.0,92,4,15.033,False
131,0.001,82,0.125,False,6.674,6.019,0.8,4.4,64,34,12.806,False
132,0.0,39,0.061,False,4.721,7.375,0.111,12.444,27,21,18.111,False
133,0.0,77,0.179,False,6.489,9.289,-1.889,30.556,121,19,19.235,False
134,0.0,71,0.111,False,6.413,5.68,-0.125,11.125,68,19,16.125,False
135,0.002,76,0.133,False,6.621,1.62,-0.071,19.571,30,74,14.036,False
136,0.0,69,0.136,False,7.63,4.413,0.429,11.857,69,38,15.232,False
137,0.002,61,0.087,False,4.958,4.602,0.118,13.294,33,35,17.117,False
138,0.0,64,0.142,False,5.526,6.751,0.333,7.333,43,68,18.974,False
139,0.0,84,0.152,False,6.55,6.728,-1.0,23.0,91,28,21.213,False
140,0.0,83,0.198,False,7.277,7.244,0.6,6.4,87,68,17.493,False
141,0.0,72,0.168,False,6.267,6.797,-0.158,19.947,26,106,19.235,False
142,0.0,77,0.131,False,5.755,5.758,0.176,8.118,24,79,17.263,False
143,0.0,88,0.188,False,6.819,6.303,1.1,1.4,102,45,14.866,False
144,0.002,81,0.124,False,5.617,4.578,-0.222,20.333,22,75,18.439,False
145,0.0,73,0.112,False,5.341,6.763,-0.909,31.182,19,69,14.866,False
146,0.0,40,0.082,False,5.266,6.496,0.053,13.789,33,31,19.026,False
147,0.0,67,0.121,False,5.268,5.309,-0.056,16.333,30,65,18.028,False
148,0.002,64,0.107,False,5.104,5.733,-0.0,17.0,19,65,18.0,False
149,0.0,55,0.179,False,6.332,7.595,-0.882,28.059,66,74,22.672,False
150,0.0,95,0.19,False,7.659,7.299,-0.833,24.333,78,71,23.431,False
151,0.001,91,0.126,False,7.086,5.751,0.636,11.818,79,20,13.038,False
152,0.0,75,0.147,False,6.325,6.176,0.0,17.0,71,44,18.0,False
153,0.058,43,0.055,False,5.663,8.761,-0.211,17.263,19,24,19.416,False
154,0.0,38,0.051,False,4.881,7.622,-0.158,15.632,20,20,19.235,False
155,0.002,82,0.149,False,5.767,6.198,-0.0,12.0,78,39,18.0,False
156,0.0,41,0.074,False,5.099,7.579,-0.158,16.632,27,31,19.235,False
157,0.0,85,0.186,False,6.193,6.844,-0.5,20.5,77,69,20.125,False
158,0.0,42,0.078,False,5.095,7.717,-0.158,16.789,30,31,19.235,False
159,0.0,83,0.177,False,6.039,7.067,-0.471,21.353,61,78,18.788,False
160,0.0,55,0.105,False,6.111,5.895,0.636,4.636,34,48,13.038,False
161,0.0,92,0.2,False,8.279,1.762,-1.5,43.5,41,116,18.028,False
162,0.0,84,0.154,False,5.96,6.932,0.0,17.0,83,38,17.0,False
163,0.0,72,0.216,False,6.789,6.732,-0.556,20.778,97,72,20.591,False
164,0.0,90,0.163,False,6.955,6.144,-inf,inf,128,0,14.0,False
165,0.0,86,0.212,False,7.589,2.89,-0.389,15.944,116,50,19.313,False
166,0.0,40,0.057,False,5.135,7.932,0.158,12.368,24,21,19.235,False
167,0.0,41,0.125,False,5.246,6.856,-0.316,19.579,44,54,19.925,False
168,0.0,39,0.074,False,4.916,7.487,0.412,7.529,28,30,18.385,False
169,0.0,86,0.176,False,7.418,5.878,-1.143,25.571,98,40,21.26,False
170,0.0,88,0.176,False,7.31,2.419,-0.056,10.333,96,42,18.028,False
171,0.001,51,0.069,False,6.008,11.21,0.778,3.667,30,24,11.402,False
172,0.0,41,0.11,False,4.921,6.108,-0.105,14.421,47,39,19.105,False
173,0.0,58,0.161,False,5.585,6.667,-0.8,22.4,77,49,19.209,False
174,0.0,64,0.114,False,5.499,6.228,-0.333,22.333,24,65,18.974,False
175,0.0,63,0.205,False,6.469,6.584,-0.812,25.688,94,67,20.616,False
176,0.0,83,0.288,False,6.558,6.56,-0.611,20.444,135,91,21.095,False
177,0.0,87,0.186,False,6.996,4.864,-1.667,41.333,65,81,17.493,False
178,0.0,40,0.074,False,5.256,8.494,-0.421,19.684,29,29,20.616,False
179,0.0,40,0.06,False,4.826,7.716,0.0,15.0,29,18,19.0,False
180,0.0,39,0.065,False,5.173,7.608,-0.389,19.944,24,27,19.313,False
181,0.0,63,0.098,False,5.943,8.916,0.357,12.214,58,19,14.866,False
182,0.0,85,0.149,False,7.038,4.814,0.467,11.2,84,33,16.553,False
183,0.0,71,0.143,False,6.4,7.347,-19.0,367.0,18,94,19.026,False
184,0.047,69,0.11,False,6.733,5.902,-0.316,22.895,22,64,19.925,False
185,0.042,75,0.11,False,6.905,7.209,-2.6,37.6,80,6,13.928,False
186,0.0,54,0.093,False,5.586,8.448,-0.25,18.75,28,45,16.492,False
187,0.001,79,0.176,False,6.683,3.193,-0.294,20.765,47,91,17.72,False
188,0.0,72,0.145,False,6.439,8.431,-1.857,50.571,7,107,14.765,False
189,0.0,67,0.158,False,6.415,9.787,-1.333,29.333,94,30,20.0,False
190,0.0,62,0.111,False,6.155,7.564,-4.667,60.333,77,10,14.318,False
191,0.0,91,0.151,False,6.853,7.8,-1.0,24.0,96,22,18.385,False
192,0.001,61,0.139,False,6.485,3.972,0.0,16.0,76,33,18.0,False
193,0.0,86,0.182,False,6.628,5.261,0.25,13.75,92,51,16.492,False
194,0.0,86,0.287,False,6.623,5.723,1.636,-8.727,115,110,21.095,False
195,0.0,59,0.134,False,6.414,5.859,-0.75,27.5,46,59,20.0,False
196,0.0,32,0.041,False,5.365,8.672,-0.368,19.474,13,19,20.248,False
197,0.0,89,0.153,False,7.99,6.438,-1.333,35.667,50,70,20.0,False
198,0.0,70,0.205,False,5.79,6.34,0.588,4.471,69,92,19.723,False
199,0.001,59,0.08,False,4.968,4.742,-0.267,20.133,14,49,15.524,False
200,0.0,40,0.078,False,5.193,8.028,-0.444,19.222,33,28,19.698,False
201,0.001,54,0.077,False,6.134,6.486,-0.263,18.842,24,36,19.647,False
202,0.0,59,0.129,False,6.386,6.264,0.062,14.75,59,42,16.031,False
203,0.0,70,0.098,False,6.606,8.871,-0.188,18.938,30,47,16.279,False
204,0.0,76,0.175,False,6.074,7.122,0.625,5.25,64,73,18.868,False
205,0.008,80,0.191,False,6.239,6.464,-0.444,22.111,55,95,19.698,False
206,0.0,55,0.089,False,6.333,6.634,-0.211,18.263,29,41,19.416,False
207,0.0,61,0.144,False,6.775,7.605,-0.462,21.154,65,48,14.318,False
208,0.0,70,0.126,False,6.284,8.313,0.176,14.471,53,46,17.263,False
209,0.0,70,0.147,False,5.466,5.069,-0.263,20.316,26,89,19.647,False
210,0.0,41,0.064,False,4.822,7.827,-0.053,15.211,22,28,19.026,False
211,0.0,67,0.135,False,6.413,7.581,0.75,4.75,73,33,15.0,False
212,0.001,74,0.213,False,6.178,7.12,-0.765,26.353,74,93,21.401,False
213,0.0,79,0.119,False,5.877,8.539,0.188,11.688,52,41,16.279,False
214,0.0,61,0.101,False,6.041,6.219,0.429,10.286,50,29,15.232,False
215,0.0,82,0.121,False,6.465,7.348,1.714,-4.571,68,27,13.892,False
216,0.0,94,0.213,False,8.332,1.403,0.643,12.429,140,27,16.643,False
217,0.0,64,0.129,False,5.163,7.433,-0.688,20.438,79,22,19.416,False
218,0.0,73,0.19,False,6.265,5.02,-0.368,22.842,35,114,20.248,False
219,0.0,57,0.112,False,6.43,7.571,-0.471,20.353,49,39,18.788,False
220,0.005,62,0.198,False,5.46,5.611,0.529,5.294,64,91,19.235,False
221,0.001,39,0.059,False,5.092,7.339,0.222,10.667,24,22,18.439,False
222,0.0,79,0.112,False,6.898,8.146,0.455,9.364,54,34,12.083,False
223,0.0,62,0.101,False,6.635,5.841,-0.278,20.222,29,50,18.682,False
224,0.001,54,0.103,False,6.186,6.926,0.0,15.0,46,35,19.0,False
225,0.0,68,0.148,False,6.298,7.174,-0.647,22.882,65,51,20.248,False
226,0.0,66,0.149,False,5.612,6.507,-0.158,15.632,64,53,19.235,False
227,0.0,68,0.199,False,6.894,4.488,0.222,15.333,113,43,18.439,False
228,0.0,93,0.173,False,6.991,3.398,-0.125,11.5,105,31,16.125,False
229,0.0,97,0.161,False,6.83,8.012,-1.545,36.364,61,65,20.248,False
230,0.0,65,0.112,False,6.81,9.542,-0.294,17.471,41,47,17.72,False
231,0.0,71,0.128,False,7.247,7.912,-0.263,21.105,31,69,19.647,False
232,0.0,58,0.11,False,6.129,6.238,-0.263,18.842,35,51,19.647,False
233,0.0,42,0.094,False,5.401,7.186,-0.105,15.421,37,37,19.105,False
234,0.001,81,0.218,False,6.073,4.958,-0.5,19.0,105,66,20.125,False
235,0.0,40,0.094,False,4.874,6.693,-0.053,15.211,34,40,19.026,False
236,0.003,113,0.177,False,6.793,6.288,1.3,-6.0,62,77,16.401,False
237,0.001,88,0.149,False,7.658,1.729,6.5,-119.5,23,94,13.153,False
238,0.0,83,0.161,False,7.133,8.523,1.364,-3.545,87,39,18.601,False
239,0.0,80,0.188,False,6.982,2.0,-0.467,15.867,106,41,16.553,False
240,0.0,40,0.066,False,5.012,7.661,-0.053,15.263,24,28,19.026,False
241,0.0,68,0.152,False,5.686,5.29,0.667,1.333,32,87,18.028,False
242,0.0,43,0.087,False,5.228,7.804,-0.263,17.053,34,34,19.647,False
243,0.0,71,0.214,False,5.736,5.791,-0.263,18.316,74,94,19.647,False
244,0.0,88,0.165,False,6.764,4.723,-0.533,23.267,61,68,17.0,False
245,0.0,40,0.054,False,5.222,8.229,0.0,15.0,25,17,19.0,False
246,0.0,65,0.153,False,6.349,7.604,-0.389,18.556,73,47,19.313,False
247,0.003,56,0.111,False,5.763,5.476,-0.211,18.053,41,46,19.416,False
248,0.0,67,0.089,False,7.423,9.574,-2.8,40.8,68,2,14.866,False
249,0.0,81,0.154,False,7.27,8.292,0.333,12.667,73,48,18.974,False
250,0.0,59,0.128,False,5.839,6.285,0.429,8.571,42,58,15.232,False
251,0.0,71,0.171,False,6.909,9.279,-9.5,145.5,73,61,19.105,False
252,0.0,42,0.088,False,5.095,7.699,-0.368,19.842,32,37,20.248,False
253,0.0,68,0.12,False,6.582,6.787,0.846,3.231,59,35,17.029,False
254,0.047,83,0.177,False,5.915,6.715,0.316,11.421,86,53,19.925,False
255,0.0,84,0.17,False,7.515,7.264,-0.737,22.211,78,55,23.601,False
256,0.0,62,0.176,False,5.783,6.935,0.316,11.737,73,65,19.925,False
257,0.0,86,0.154,False,7.297,2.377,-0.118,11.706,80,41,17.117,False
258,0.001,65,0.138,False,5.501,6.246,0.158,16.211,93,15,19.235,False
259,0.0,89,0.242,False,7.942,2.313,-18.0,364.0,48,142,18.028,False
260,0.0,95,0.171,False,8.004,1.837,-0.267,11.333,116,18,15.524,False
261,0.0,92,0.172,False,6.883,6.428,-inf,inf,135,0,19.0,False
262,0.0,87,0.154,False,6.367,8.239,-0.556,20.778,64,57,20.591,False
263,0.001,67,0.103,False,4.826,5.36,-0.263,17.316,49,32,19.647,False
264,0.0,68,0.17,False,5.698,5.68,-0.111,15.778,80,53,18.111,False
265,0.0,41,0.075,False,5.004,7.401,0.105,13.579,33,26,19.105,False
266,0.0,77,0.106,False,6.314,5.441,1.833,-14.5,37,46,12.53,False
267,0.0,65,0.142,False,5.33,5.779,-0.158,16.789,41,70,19.235,False
268,0.0,106,0.195,False,8.792,1.367,0.2,5.4,44,109,15.297,False
269,0.0,73,0.13,False,6.673,7.365,-0.312,18.875,54,48,16.763,False
270,0.001,65,0.11,False,5.43,5.889,-0.211,18.263,37,49,19.416,False
271,0.0,64,0.161,False,5.786,6.6,-0.474,23.368,36,90,21.024,False
272,0.0,72,0.111,False,7.132,9.031,-4.333,106.667,1,86,13.342,False
273,0.0,73,0.112,False,6.045,7.984,0.333,13.667,67,21,15.811,False
274,0.0,82,0.307,False,7.305,2.697,0.111,8.444,77,164,18.111,False
275,0.001,82,0.185,False,6.9,2.44,-0.059,11.353,97,48,17.029,False
276,0.0,89,0.151,False,7.116,7.96,-3.5,88.5,15,103,14.56,False
277,0.0,41,0.085,False,5.166,7.322,-0.105,16.421,32,35,19.105,False
278,0.0,67,0.133,False,5.892,9.518,-0.929,24.714,58,46,19.105,False
279,0.0,63,0.129,False,5.455,7.214,-3.8,55.4,78,23,19.647,False
280,0.0,99,0.181,False,7.134,6.9,-3.75,67.0,74,68,15.524,False
281,0.0,98,0.17,False,7.203,6.559,8.5,-104.5,69,64,17.117,False
282,0.0,65,0.116,False,6.436,7.471,-0.368,20.211,44,47,20.248,False
283,0.0,73,0.119,False,6.614,9.154,0.083,14.167,55,38,12.042,False
284,0.008,80,0.121,False,6.511,3.783,-0.0,10.0,69,26,16.0,False
285,0.0,58,0.111,False,5.208,5.084,-0.733,28.6,16,71,18.601,False
286,0.0,65,0.133,False,6.354,9.231,-0.444,17.333,72,32,19.698,False
287,0.0,84,0.196,False,7.341,2.744,-0.5,25.5,45,109,17.889,False
288,0.0,66,0.14,False,5.463,5.115,-0.263,19.579,45,65,19.647,False
289,0.0,41,0.089,False,4.871,6.979,-0.105,16.421,31,39,19.105,False
290,0.0,40,0.078,False,4.786,7.318,-0.167,16.833,30,31,18.248,False
291,0.0,76,0.125,False,7.003,9.154,-0.529,21.176,57,41,19.235,False
292,0.0,40,0.078,False,4.8,7.144,-0.105,16.421,26,35,19.105,False
293,0.0,84,0.136,False,7.694,8.081,0.786,0.714,36,71,17.804,False
294,0.0,84,0.122,False,7.291,6.943,0.143,16.286,60,36,14.142,False
295,0.0,69,0.107,False,6.629,8.647,-0.636,23.091,41,43,13.038,False
296,0.0,60,0.122,False,6.735,4.932,-0.6,25.6,38,58,17.493,False
297,0.0,113,0.212,False,7.521,5.595,1.889,-6.222,118,48,19.235,False
298,0.0,81,0.142,False,6.631,6.836,-0.4,15.6,74,37,16.155,False
299,0.0,53,0.129,False,5.771,6.446,0.125,12.375,50,51,16.125,False
300,0.006,66,0.088,False,5.737,7.103,0.083,15.167,42,27,12.042,False
301,0.0,41,0.078,False,5.133,7.623,-0.158,16.789,29,32,19.235,False
302,0.0,91,0.165,False,7.049,6.21,-1.0,24.0,97,32,18.385,False
303,0.0,80,0.142,False,5.998,7.155,-0.438,19.188,58,53,17.464,False
304,0.0,42,0.098,False,4.846,7.081,-0.105,16.526,32,45,19.105,False
305,0.0,72,0.168,False,6.091,4.096,-0.412,18.059,80,52,18.385,False
306,0.0,83,0.216,False,6.536,7.924,-2.0,35.0,134,35,20.125,False
307,0.0,41,0.084,False,5.224,7.555,-0.316,18.263,36,30,19.925,False
308,0.0,66,0.111,False,6.412,8.34,-0.267,21.667,25,62,15.524,False
309,0.0,42,0.103,False,5.237,6.791,0.211,11.158,44,37,19.416,False
310,0.0,80,0.182,False,6.744,6.684,0.857,2.0,65,78,18.439,False
311,0.0,102,0.207,False,7.666,4.353,2.429,-7.571,138,24,18.385,False
312,0.0,71,0.261,False,5.923,4.807,-0.316,15.947,143,62,19.925,False
313,0.0,40,0.073,False,5.997,10.474,-0.684,23.737,27,30,23.022,False
314,0.0,78,0.156,False,5.939,7.676,-0.167,16.0,56,66,18.248,False
315,0.0,85,0.181,False,6.67,7.826,-1.4,30.0,91,51,17.205,False
316,0.0,37,0.051,False,5.068,7.041,-0.111,16.667,18,22,18.111,False
317,0.004,62,0.098,False,5.976,9.728,0.111,15.222,58,19,18.111,False
318,0.0,69,0.142,False,7.164,10.018,3.0,-29.0,58,53,15.811,False
319,0.0,71,0.167,False,5.834,5.533,-0.267,13.533,100,31,15.524,False
320,0.0,77,0.147,False,7.528,5.409,-0.294,21.059,43,72,17.72,False
321,0.0,70,0.115,False,6.8,9.174,-0.222,15.889,56,34,18.439,False
322,0.0,89,0.162,False,6.976,6.968,-2.0,31.0,105,22,15.652,False
323,0.001,81,0.13,False,6.771,3.193,-0.25,14.5,69,33,16.492,False
324,0.0,88,0.152,False,5.582,4.676,0.056,10.833,43,76,18.028,False
325,0.0,97,0.154,False,7.699,7.784,1.417,-5.333,65,56,20.809,False
326,0.0,72,0.12,False,5.788,6.149,-0.385,15.538,65,29,13.928,False
327,0.0,83,0.12,False,6.902,6.488,-0.545,26.091,33,61,12.53,False
328,0.0,62,0.112,False,6.414,9.552,-0.105,17.737,33,55,19.105,False
329,0.0,71,0.153,False,6.449,8.28,-4.0,93.0,18,102,16.492,False
330,0.0,94,0.145,False,8.154,1.61,0.833,8.833,85,29,15.62,False
331,0.0,91,0.191,False,6.347,6.902,-0.421,20.105,67,83,20.616,False
332,0.0,85,0.14,False,5.899,7.22,0.111,9.333,34,76,18.111,False
333,0.0,78,0.157,False,7.372,7.544,-2.667,38.333,111,12,17.088,False
334,0.064,61,0.111,False,4.75,5.198,-0.105,17.632,22,65,19.105,False
335,0.0,40,0.062,False,4.894,7.968,-0.158,15.789,27,22,19.235,False
336,0.0,39,0.057,False,4.659,7.323,-0.111,15.556,22,23,18.111,False
337,0.001,72,0.133,False,5.897,5.383,-0.158,19.947,22,82,19.235,False
338,0.0,89,0.165,False,8.862,1.393,0.067,21.667,129,0,15.033,False
339,0.0,66,0.108,False,6.58,7.468,1.0,2.0,59,26,15.556,False
